"14U BOYS D1 HOT! RESULTS BRACKETS A A1-PATRIOT A A2-VANGUARD A A3-CIU SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-LA JOLLA UNITED A B2-NEWPORT BEACH A B3-LAMORINDA B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS C2-OVAC C3-NORCAL A C","24+22+18 TICKETS D D1-LA PREMIER D2-MISSION A D3-SAN DIEGO SHORES D","7 minute quarters OFFICIAL MERCHANDISE E E1-908 E2-STANFORD A E3-SAN CLEMENTE E","CUSTOM SUITS F F1-COMMERCE F2-SOUTH COAST RED F3-DIABLO ALLIANCE A F","G G1-NORTH IRVINE A G2-SOCAL G3-DAVIS G","H H1-CDM H2-CCU A H3-PEGASUS H","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","BECKMAN HS","14BD149","N1(L#Playin3)-CCU A","9.0","N4(L#Playin2)-908","9.3","9th-12th semi 9v12","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","BECKMAN HS","14BD152","N2(L#Playin4)-LAMORINDA","12","N3(L#Playin1)-OVAC","16","9th-12th semi 10v11","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","BECKMAN HS","14BD154","P1(L#Qtr4)-LA PREMIER","6.5","P4(L#Qtr3)-PATRIOT A","6.4","5th-8th semi 5v8","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","BECKMAN HS","14BD156","P2(L#Qtr2)-CIU","10","P3(L#Qtr1)-NEWPORT BEACH A","7","5th-8th semi 6v7","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","BECKMAN HS","14BD159","W#N1/N4-908","4","W#N2/N3-OVAC","6","9th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","BECKMAN HS","14BD162","L#N1/N4-CCU A","11","L#N2/N3-LAMORINDA","13","11th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","BECKMAN HS","14BD163","W#P1/P4-LA PREMIER","8","W#P2/P3-CIU","7","5th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","3:00 PM","BECKMAN HS","14BD164","L#P1/P4-PATRIOT A","4","L#P2/P3-NEWPORT BEACH A","8","7th","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","LA SERNA HS","14BD155","K1(2ndE)-STANFORD A","11","K2(2ndF)-SOUTH COAST RED","8","17-20 RR K1,K2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","LA SERNA HS","14BD158","K3(2ndG)-DAVIS","7","K4(2ndH)-CDM","12","17-20 RR K3,K4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","LA SERNA HS","14BD161","M1(3rdE)-SAN CLEMENTE","11","M2(3rdF)-DIABLO ALLIANCE A","10","21-24 RR M1,M2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","2:00 PM","SONORA HS","14BD148","M3(3rdG)-SOCAL","11","M4(3rdH)-PEGASUS","8","21-24 RR M3,M4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","","","LA JOLLA UNITED A","","","","","","","","","","","","","","","","","","",""
"","","","","","","MISSION A","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORCAL A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SD DONS","","","","","","","","","","","","","","","","","","",""
"","","","","","","LA PREMIER","","","","","","","","","","","","","","","","","","",""
"","","","","","","CIU","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH A","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT A","","","","","","","","","","","","","","","","","","",""
"","","","","","","OVAC","","","","","","","","","","","","","","","","","","",""
"","","","","","","908","","","","","","","","","","","","","","","","","","",""
"","","","","","","LAMORINDA","","","","","","","","","","","","","","","","","","",""
"","","","","","","CCU A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN DIEGO SHORES","","","","","","","","","","","","","","","","","","",""
"","","","","","","COMMERCE","","","","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD A","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORTH IRVINE A","","","","","","","","","","","","","","","","","","",""
