group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
16U Boys,Greenwich,greenwich-16u-boys,Greenwich,18,19,-1,1792.7,1785.9,-6.8,Futures Super Finals,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,La Jolla United,la-jolla-united-16u-boys,La Jolla United,,20,0,,1785.0,0.0,Quiksilver Cup,4 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate_conflict|quiksilver_cup_2026_provisional_entry|identity_review|quiksilver_cup_2026_lightweight_adjustment
16U Boys,OCWPC Blue,ocwpc-blue-16u-boys,OCWPC,19,21,-2,1785.9,1764.6,-21.3,SOPAC JO Quals,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Aetos,aetos-16u-boys,Aetos,20,22,-2,1785.0,1756.5,-28.5,Futures Super Finals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Thunder,thunder-16u-boys,Thunder,21,23,-2,1764.6,1754.5,-10.1,Futures Super Finals,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Commerce,commerce-16u-boys,Commerce,22,24,-2,1756.5,1754.5,-2.0,Quiksilver Cup,17 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Vanguard Blue,vanguard-blue-16u-boys,Vanguard,23,25,-2,1754.5,1754.5,0.0,SOPAC JO Quals,3-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Trojan B,trojan-b-16u-boys,Trojan,24,26,-2,1754.5,1752.8,-1.7,Futures Super Finals,1-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CDM,cdm-16u-boys,CDM,26,27,-1,1752.8,1736.3,-16.5,SOPAC JO Quals,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,680 A,680-a-16u-boys,680,27,28,-1,1736.3,1727.5,-8.8,Quiksilver Cup,12 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Palos Verdes,palos-verdes-16u-boys,Palos Verdes,28,29,-1,1727.5,1716.2,-11.3,CCA JO Quals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
