group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
14U Boys,81,Clovis B,Clovis,2,54,-27,81,Classic,Bronze,33,9,4-5,Clovis Red
14U Boys,82,Lokahi,Lokahi,1,,0,82,Classic,Bronze,34,10,4-4,Lokahi
14U Boys,83,San Diego Shores B,San Diego Shores,2,,0,83,Classic,Bronze,35,11,3-5,SD Shores Gold
14U Boys,84,Carlsbad,Carlsbad,1,,0,84,Classic,Bronze,36,12,2-6,Carlsbad
14U Boys,85,680 C,680,3,76,-9,85,Classic,Bronze,37,13,5-3,680 White
14U Boys,86,Diablo Alliance B,Diablo Alliance,2,60,-26,86,Classic,Bronze,38,14,3-6,Diablo Alliance B
14U Boys,87,Rain City,Rain City,1,,0,87,Classic,Bronze,39,15,3-4,Rain City
14U Boys,88,Capital,Capital,1,,0,88,Classic,Bronze,40,16,2-7,Capital
14U Boys,89,SJ Foundation,SJ Foundation,1,56,-33,89,Classic,Bronze,41,17,3-4,San Jose Foundation Black
14U Boys,90,WCAC United,WCAC United,1,,0,90,Classic,Bronze,42,18,2-5,Wcac United
14U Boys,91,Brooklyn Hustle,Brooklyn Hustle,1,,0,91,Classic,Bronze,43,19,3-5,Brooklyn Hustle
14U Boys,92,Third Coast,Third Coast,1,,0,92,Classic,Bronze,44,20,1-6,Third Coast
14U Boys,93,Honolulu Water Polo B,Honolulu Water Polo,2,100,7,93,Classic,Bronze,45,21,3-4,Honolulu
14U Boys,94,Innis Arden,Innis Arden,1,,0,94,Classic,Bronze,46,22,2-5,Innis Arden
14U Boys,95,T Hills,T Hills,1,,0,95,Classic,Bronze,47,23,1-6,T Hills
14U Boys,96,Bainbridge,Bainbridge,1,,0,96,Classic,Bronze,48,24,0-7,Bainbridge
14U Boys,97,NorCal B,NorCal,2,58,-39,97,Invitational,Copper,1,1,6-1,Norcal Teal
14U Boys,98,Brea Olinda,Brea Olinda,1,81,-17,98,Invitational,Copper,2,2,5-3,Brea Olinda
14U Boys,99,ORWP B,ORWP,2,,0,99,Invitational,Copper,3,3,4-5,ORWP Red
14U Boys,100,Loyola WPC,Loyola WPC,1,72,-28,100,Invitational,Copper,4,4,3-7,Loyola
16U Boys,1,Stanford A,Stanford,1,6,5,1,Championship,Platinum,1,1,8-1,Stanford Red
16U Boys,2,Newport Beach A,Newport Beach,1,12,10,3,Championship,Platinum,3,3,6-1,Newport Beach Blue
16U Boys,3,Berkeley WPC,Berkeley WPC,1,7,4,2,Championship,Platinum,2,2,6-2,Berkeley
16U Boys,4,Patriot,Patriot,1,1,-3,4,Championship,Platinum,4,4,5-2,Patriot Navy
16U Boys,5,Imperial,Imperial,1,2,-3,5,Championship,Platinum,5,5,5-2,Imperial
16U Boys,6,CIU A,CIU,1,15,9,6,Championship,Platinum,6,6,5-4,Ciu Gold
16U Boys,7,Santa Barbara,Santa Barbara,1,14,7,7,Championship,Platinum,7,7,7-2,Santa Barbara Wpc A
16U Boys,8,La Jolla United A,La Jolla United,1,20,12,8,Championship,Platinum,8,8,4-3,La Jolla United Navy
16U Boys,9,San Diego Shores A,San Diego Shores,1,4,-5,10,Championship,Platinum,10,10,4-3,SD Shores Black
16U Boys,10,CC United A,CC United,1,32,22,9,Championship,Platinum,9,9,7-2,CC United Black
16U Boys,11,Vanguard A,Vanguard,1,3,-8,11,Championship,Platinum,11,11,4-4,Vanguard Blue
16U Boys,12,Aetos,Aetos,1,22,10,12,Championship,Platinum,12,12,3-4,Aetos
16U Boys,13,Thunder A,Thunder,1,23,10,13,Championship,Platinum,13,13,7-2,Texas Thunder Black
16U Boys,14,Trojan A,Trojan,1,8,-6,15,Championship,Platinum,15,15,4-4,Trojan Cardinal
16U Boys,15,Greenwich A,Greenwich,1,19,4,14,Championship,Platinum,14,14,5-3,Greenwich Blue
