Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
1-SAN JOSE EXPRESS BLUE,2-LB SHORE,3-SANTA CRUZ,4-SOUTH COAST RED,5-COMMERCE,6-CHAWP WHITE,,,,,,
24-LA JOLLA UNITED B,23-WEST VALLEY,22-CLOVIS RED,21-RAIN CITY,20-CARLSBAD,19-SAN JOSE FOUNDATION,,,,,,
25-AMERICAN RIVER GOLD,26-VANGUARD SILVER,27-ALAMEDA,28-CHULA VISTA PREMIER,29-ALBUQUERQUE,30-CHARGERS BLACK,,,,,,
48-ELMHURST,47-NORCO,46-LV LEGENDS,45-MOOSE,44-SHAQ WHITE,43-CINCINNATI MARLINS,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
7-HIELAND,8-ORWP,9-KINGSBURG,10-SD SHORES GOLD,11-SET,12-CENTRAL VALLEY UNITED,,,,,,
18-ROSE BOWL RED,17-SUPREME,16-NAVY,15-OHANA,14-SAND CANYON RED,13-TSUNAMI,,,,,,
31-THIRD COAST,32-MID PEN,33-ASPHALT GREEN,34-CLOVIS B,35-VIPER PIGEON,36-AQUATEX,,,,,,
42-CC UNITED BLUE,41-WCAC UNITED B,40-NEWBERG,39-TOPAZ TSUNAMI,38-FARALLON,37-MESA,,,,,,
,,,,,,,,,,,18BX
,,,SUNNY HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,9:30 AM,Group,ANAHEIM HS,76,bz_P2,,bz_P3,,,,18BX-076
7/24/2026,10:20 AM,Group,ANAHEIM HS,80,bz_U1,,bz_U3,,,,18BX-080
7/24/2026,11:10 AM,Group,ANAHEIM HS,84,bz_T1,,bz_T3,,,,18BX-084
7/24/2026,12:00 PM,Group,ANAHEIM HS,88,bz_O1,,bz_O3,,,,18BX-088
7/24/2026,12:50 PM,Group,ANAHEIM HS,92,bz_P1,,bz_P3,,,,18BX-092
7/24/2026,1:40 PM,Group,ANAHEIM HS,96,bz_U2,,bz_U3,,,,18BX-096
7/24/2026,2:30 PM,Group,ANAHEIM HS,100,bz_T2,,bz_T3,,,,18BX-100
7/24/2026,3:20 PM,Group,ANAHEIM HS,104,bz_O1,,bz_O2,,,,18BX-104
7/24/2026,4:10 PM,Group,ANAHEIM HS,108,bz_P1,,bz_P2,,,,18BX-108
,BREAK,,,,,,,,,,
,BREAK,,,,,,,,,,
7/24/2026,6:40 PM,Play-in,ANAHEIM HS,112,3rd bz_O-,,1st bz_U-,,119,140,18BX-112
7/24/2026,7:30 PM,Play-in,ANAHEIM HS,116,3rd bz_P-,,1st bz_T-,,127,132,18BX-116
,,,,,,,,,,,
Day 3,,,,,,,,,,,
7/25/2026,,,,,,,,,,,
,,,LA HABRA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,LA HABRA HS,117,2nd ag_P-,,W110,,141,149,18BX-117
7/25/2026,9:00 AM,5-8 v 9-12,LA HABRA HS,121,2nd ag_M-,,W113,,141,149,18BX-121
7/25/2026,10:00 AM,5-8 v 9-12,LA HABRA HS,125,2nd ag_O-,,W114,,145,153,18BX-125
7/25/2026,11:00 AM,5-8 v 9-12,LA HABRA HS,129,2nd ag_N-,,W109,,145,153,18BX-129
7/25/2026,12:00 PM,1-2 v 3-4,LA HABRA HS,133,1st ag_N-,,1st ag_O-,,174,157,18BX-133
7/25/2026,1:00 PM,1-2 v 3-4,LA HABRA HS,137,1st ag_M-,,1st ag_P-,,173,161,18BX-137
7/25/2026,2:00 PM,5-6 v 7-8,LA HABRA HS,141,W117,,W121,,157,185,18BX-141
7/25/2026,3:00 PM,5-6 v 7-8,LA HABRA HS,145,W125,,W129,,161,185,18BX-145
7/25/2026,4:00 PM,9-12 semi,LA HABRA HS,149,L121,,L117,,182,181,18BX-149
7/25/2026,5:00 PM,9-12 semi,LA HABRA HS,153,L129,,L125,,182,181,18BX-153
7/25/2026,6:00 PM,play to semi,LA HABRA HS,157,L133,,W141,,173,186,18BX-157
7/25/2026,7:00 PM,play to semi,LA HABRA HS,161,L137,,W145,,174,186,18BX-161
,,,,,,,,,,,
,,,ORANGE COAST COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,21-24 RR,ORANGE COAST COLLEGE 1,118,3rd ag_U-,,3rd ag_R-,,,,18BX-118
7/25/2026,9:00 AM,21-24 RR,ORANGE COAST COLLEGE 1,122,3rd ag_T-,,3rd ag_S-,,,,18BX-122
7/25/2026,10:00 AM,13-20 qtr,ORANGE COAST COLLEGE 1,126,L113,,2nd ag_U-,,150,154,18BX-126
7/25/2026,11:00 AM,13-20 qtr,ORANGE COAST COLLEGE 1,130,L114,,2nd ag_S-,,150,154,18BX-130
7/25/2026,12:00 PM,13-20 qtr,ORANGE COAST COLLEGE 1,134,L109,,2nd ag_T-,,158,162,18BX-134
7/25/2026,1:00 PM,13-20 qtr,ORANGE COAST COLLEGE 1,138,L110,,2nd ag_R-,,158,162,18BX-138
7/25/2026,2:00 PM,21-24 RR,ORANGE COAST COLLEGE 1,142,3rd ag_U-,,3rd ag_S-,,,,18BX-142
7/25/2026,3:00 PM,21-24 RR,ORANGE COAST COLLEGE 1,146,3rd ag_T-,,3rd ag_R-,,,,18BX-146
7/25/2026,4:00 PM,13-16 semi,ORANGE COAST COLLEGE 1,150,W126,,W130,,178,177,18BX-150
7/25/2026,5:00 PM,17-20 semi,ORANGE COAST COLLEGE 1,154,L130,,L126,,170,169,18BX-154
7/25/2026,6:00 PM,13-16 semi,ORANGE COAST COLLEGE 1,158,W134,,W138,,178,177,18BX-158
7/25/2026,7:00 PM,17-20 semi,ORANGE COAST COLLEGE 1,162,L138,,L134,,170,169,18BX-162
,,,,,,,,,,,
,,,SADDLEBACK COLLEGE 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/25/2026,8:00 AM,5-8 v 9-12,SADDLEBACK COLLEGE 1,119,2nd bz_P-,,W112,,143,151,18BX-119
7/25/2026,9:00 AM,5-8 v 9-12,SADDLEBACK COLLEGE 1,123,2nd bz_M-,,W115,,143,151,18BX-123
7/25/2026,10:00 AM,5-8 v 9-12,SADDLEBACK COLLEGE 1,127,2nd bz_O-,,W116,,147,155,18BX-127
7/25/2026,11:00 AM,5-8 v 9-12,SADDLEBACK COLLEGE 1,131,2nd bz_N-,,W111,,147,155,18BX-131
7/25/2026,12:00 PM,1-2 v 3-4,SADDLEBACK COLLEGE 1,135,1st bz_N-,,1st bz_O-,,172,159,18BX-135
7/25/2026,1:00 PM,1-2 v 3-4,SADDLEBACK COLLEGE 1,139,1st bz_M-,,1st bz_P-,,171,163,18BX-139
7/25/2026,2:00 PM,5-6 v 7-8,SADDLEBACK COLLEGE 1,143,W119,,W123,,159,188,18BX-143
7/25/2026,3:00 PM,5-6 v 7-8,SADDLEBACK COLLEGE 1,147,W127,,W131,,163,188,18BX-147
7/25/2026,4:00 PM,9-12 semi,SADDLEBACK COLLEGE 1,151,L123,,L119,,183,184,18BX-151
7/25/2026,5:00 PM,9-12 semi,SADDLEBACK COLLEGE 1,155,L131,,L127,,183,184,18BX-155
